name,lat,lon,gmu,type,elevation
Flattop Mountain,40.308939,-105.690209,20,peak,3757
Peak 8,39.4727092,-106.102479,37,peak,3955
Island Mesa,38.1041584,-109.0001071,70,peak,2132
Hardesty Mesa,37.0036329,-103.6643982,143,peak,1896
Cobert Mesa,37.0089093,-103.5296691,143,peak,1837
Jesus Mesa,37.0750197,-103.5032785,143,peak,1882
Hardesty Mesa,36.9994662,-103.6616203,143,peak,1881
Rock Creek Mesa,36.9966787,-106.7530917,78,peak,2475
State Line Peak,36.9955791,-105.2963944,Unknown,peak,3918
Barela Mesa,36.9997455,-104.3138714,140,peak,2611
Wulsten Baldy,38.2513874,-105.7380624,86,peak,3870
McKinley Mountain,38.2525006,-105.2891612,69,peak,2564
Bull Mountain,40.9174782,-105.8347255,8,peak,3074
Aigner Mountain,40.6749717,-107.2631142,441,peak,2225
Hooker Mountain,40.5660844,-107.1872792,441,peak,2359
Yahoo Mountain,40.9438556,-107.2683917,5,peak,2522
Bible Back Mountain,40.9457998,-107.3550606,5,peak,2571
Camel Back Mountain,40.9460776,-107.3408937,5,peak,2544
Long Mountain,40.9244114,-107.3217265,5,peak,2828
Buck Knoll,40.9746816,-109.0262314,201,peak,2745
Kleins Hill,40.9869038,-109.0262314,201,peak,2755
Middle Mountain,40.9605156,-108.9453953,201,peak,2494
Diamond Peak,40.9502385,-108.8781712,201,peak,2946
Bishop Peak,40.9630158,-108.9253948,201,peak,2691
Cold Spring Mountain,40.895239,-108.8715043,201,peak,2624
Sugarloaf Butte,40.90774,-108.742056,2,peak,2178
Bighole Butte,40.8896883,-107.9556355,3,peak,2063
Bakers Peak,40.9180223,-107.4564523,4,peak,2879
Serviceberry Mountain,40.9449661,-107.4889531,4,peak,2428
Smith Rim,40.9124668,-107.4353406,4,peak,2732
Blue Hill,40.8482963,-108.717055,2,peak,2105
Lookout Mountain,40.8641313,-108.4837139,2,peak,2466
Twin Buttes,40.7557994,-108.3881536,2,peak,1909
The Nipple,40.8549657,-108.2087021,2,peak,2223
Brush Mountain,40.8769126,-107.2497803,5,peak,2969
Middle Mountain,40.8819126,-107.2178349,5,peak,2752
East Gibraltar Peak,40.9016345,-107.2089458,5,peak,2640
Tumble Mountain,40.9105235,-107.1492219,5,peak,2655
West Gibraltar Peak,40.9266339,-107.2481134,5,peak,2566
Beaver Mountain,40.9588556,-107.178667,5,peak,2556
Pine Scope Hill,40.9658001,-107.1278322,5,peak,2245
Twin Buttes,40.970522,-107.20839,5,peak,2571
Petite Tetons,40.9775552,-107.2300141,5,peak,2598
Flattop Mountain,40.9877438,-107.2156124,5,peak,2345
Buck Point,40.8241354,-107.367839,4,peak,3209
Mount Oliphant,40.8138577,-107.3783949,4,peak,3248
Mount Welba,40.8327462,-107.3875617,4,peak,3222
Sand Point,40.8244128,-107.4139513,4,peak,3029
Three Forks Mountain,40.9735779,-107.0894978,5,peak,2770
Piney Mountain,40.9480228,-107.1147764,5,peak,2836
Shield Mountain,40.9155236,-107.0725532,5,peak,3028
Elkhorn Mountain,40.9874672,-106.9647716,5,peak,2909
Butter Hill,40.9319124,-106.9950509,5,peak,2429
Black Mountain,40.935363,-106.7696136,161,peak,3240
Davis Peak,40.920348,-106.7007184,161,peak,3476
Independence Mountain,40.918306,-106.4455863,161,peak,2987
Sugar Loaf,40.9541388,-106.4408637,161,peak,2650
Dead Horse Hill,40.8866396,-106.4741987,161,peak,2632
Watson Mountain,40.9191406,-106.3341931,161,peak,2650
Dean Peak,40.9191411,-106.2825244,6,peak,2606
Sentinel Mountain,40.8974829,-106.2626794,6,peak,2770
Crazy Mountain,40.9402548,-105.9533413,8,peak,2638
Dempsey Dome,40.9271992,-105.9683423,7,peak,2416
Chimney Rock,40.9958117,-105.7683314,8,peak,2386
Bald Mountain,40.9955417,-105.5033252,191,peak,2442
Diamond Peak,40.9791508,-105.5599932,8,peak,2621
Iron Mountain,40.9438723,-105.5669382,8,peak,2649
Deadhorse Mountain,40.9538718,-105.5927721,8,peak,2762
Turkey Roost,40.902206,-105.4230445,191,peak,2357
Mount Evelyn,40.894706,-105.4624905,191,peak,2295
Goat Mountain,40.9005397,-105.4949918,8,peak,2370
Red Mountain,40.9072055,-105.2777608,9,peak,2163
Little Twins,40.9591507,-105.2755383,9,peak,2268
Table Mountain,40.9887077,-105.3310776,9,peak,2409
Little Bald Mountain,40.975262,-105.2683158,9,peak,2295
Table Mountain,40.9408172,-105.1755342,9,peak,2150
Sheep Mountain,40.9266502,-105.2394259,9,peak,2224
Mount Kimball,40.8947061,-105.4877693,8,peak,2306
Gage Hill,40.7885929,-105.1910914,9,peak,1839
Bobcat Mountain,40.8680387,-105.1510893,9,peak,1913
Deadman Butte,40.8144263,-105.2341484,9,peak,1852
Table Rock,40.8413712,-105.2360928,9,peak,1943
Eagles Nest,40.7714239,-105.2237465,191,peak,1916
Campbell Mountain,40.8227601,-105.1883133,9,peak,1947
Calloway Hill,40.8305378,-105.3094291,191,peak,1917
Livermore Mountain,40.7569254,-105.2924842,191,peak,2281
Haystack Butte,40.7577588,-105.4377677,191,peak,2371
Sheep Mountain,40.8027597,-105.4397122,191,peak,2425
Blacktail Point,40.8530384,-105.423878,191,peak,2266
Many Thunders Mountain,40.837321,-105.5638909,8,peak,2473
Mount Margaret,40.8177597,-105.5277712,191,peak,2422
Black Mountain,40.8716478,-105.6391637,8,peak,3030
South Bald Mountain,40.7524799,-105.6961132,8,peak,3347
Middle Bald Mountain,40.7652577,-105.7072245,8,peak,3334
North Bald Mountain,40.7758132,-105.6994461,8,peak,3342
Little Bald Mountain,40.8585902,-105.7569461,8,peak,3175
Deadman Hill,40.8110904,-105.7727815,8,peak,3196
North Middle Mountain,40.8030341,-105.8888975,7,peak,2701
Shipman Mountain,40.8283103,-106.0777938,6,peak,3294
Eagle Hill,40.821643,-106.1827988,6,peak,2544
Bear Mountain,40.7827515,-106.6117046,161,peak,3535
Flattop Mountain,40.8071953,-106.6355943,161,peak,3581
Mount Zirkel,40.8320564,-106.6611366,161,peak,3713
Big Agnes Mountain,40.8319168,-106.6897629,14,peak,3506
Little Agnes Mountain,40.8271945,-106.7178196,14,peak,3505
Diamond Peak,40.8033036,-107.0753317,5,peak,3166
Meaden Peak,40.7671932,-107.0769987,441,peak,3207
Mansfield Hill,40.8930323,-106.0391797,7,peak,2952
Pollock Knob,40.894421,-106.0575138,7,peak,2990
Iron Mountain,40.8577473,-106.9889402,5,peak,2952
Lester Mountain,40.7752496,-106.8981044,14,peak,2686
Grouse Mountain,40.8110822,-106.9056043,14,peak,2825
Twin Mountain,40.8410816,-106.9092153,14,peak,2686
Little Mountain,40.8283038,-106.9361609,14,peak,2889
Anderson Mountain,40.826915,-106.922827,14,peak,2800
Beryl Mountain,40.8316372,-106.9219936,14,peak,2835
Cap Smith Hill,40.8319145,-106.9767178,14,peak,2612
Nipple Peak,40.8727468,-107.0381082,5,peak,3152
Dome Peak,40.8741373,-106.8208785,5,peak,3138
Farwell Mountain,40.824138,-106.8489355,14,peak,3309
West Bears Ears Peak,40.7774546,-107.2492571,4,peak,3224
Saddle Mountain,40.7996924,-107.1528336,4,peak,3029
Sugar Loaf Mountain,40.7833037,-107.1839455,4,peak,2974
Diamond Mountain,40.732462,-108.9534515,1,peak,2598
Douglas Mountain,40.6330194,-108.8595589,2,peak,2637
Offield Mountain,40.6832957,-108.9562292,1,peak,2491
Dry Knob,40.6463539,-108.687053,2,peak,1972
Vermillion Mesa,40.7013536,-108.6826087,2,peak,1971
Dry Mountain,40.7138544,-108.55816,2,peak,2238
Allred Peak,40.5269108,-108.5559363,2,peak,2429
Chase Hill,40.5652439,-108.5734372,2,peak,1999
Bill Weller Mesa,40.5644105,-108.5842709,2,peak,2032
Limestone Hill,40.5713549,-108.5970492,2,peak,2085
Smelter Hill,40.5760768,-108.6437176,2,peak,2047
Reds Knob,40.5444095,-108.7812224,2,peak,2353
Zenobia Peak,40.6069083,-108.8701146,2,peak,2741
Jenny Lind Rock,40.5269083,-108.9792846,10,peak,1812
Monument Hill,40.6388556,-108.3881528,2,peak,1802
Lone Mountain,40.5760777,-108.4709334,2,peak,2034
Pigpen Hill,40.6624663,-108.4503777,2,peak,1928
Clay Buttes,40.7069106,-108.4414888,2,peak,1910
Yellow Cat Butte,40.7471886,-108.3381515,2,peak,1923
Peck Mesa,40.5435784,-108.3331498,11,peak,1941
Ninemile Hill,40.7110782,-108.1864782,3,peak,1849
Bald Mountain,40.6838564,-108.1195308,3,peak,2203
Lucas Hill,40.6474679,-108.0770289,3,peak,1930
Hat Hill,40.6141349,-108.035638,3,peak,2018
Schoonover Buttes,40.4799659,-108.7770551,10,peak,1906
Cleopatras Couch,40.4805209,-108.8573356,2,peak,1759
Marthas Peak,40.441077,-108.8703912,10,peak,2527
Tanks Peak,40.4258005,-108.765943,10,peak,2651
Hospital Hill,40.4735762,-108.9028927,2,peak,1598
Red Rock Bench,40.4619094,-108.9331714,10,peak,1891
Round Top Mountain,40.4416322,-108.9173374,10,peak,2614
Buena Vista Peak,40.4407987,-108.9251153,10,peak,2613
Plug Hat Rock,40.2895532,-108.9733437,10,peak,2132
Wapiti Peak,40.3738576,-108.2809241,11,peak,2356
Twelvemile Mesa,40.4005237,-108.3878729,10,peak,2084
Lone Mountain,40.3319136,-108.7045509,10,peak,2346
Moose Head Mountain,40.317468,-108.864001,10,peak,2588
Juniper Mountain,40.4494137,-108.0295258,211,peak,2394
M F Mountain,40.3716349,-108.5642683,10,peak,2010
Escarpment Peak,40.2980256,-108.1278619,11,peak,2403
Coal Mountain,40.3183036,-108.0445255,211,peak,2526
Kirchnary Butte,40.8949852,-103.287707,89,peak,1389
Molly and Mable,40.8866517,-103.3435421,89,peak,1332
Billy Goat Hill,40.9838731,-103.4988244,89,peak,1431
The Rocks,40.9355399,-103.4518787,89,peak,1367
Dipper Hill,40.9105398,-103.5482708,89,peak,1408
Earthlodge Rock,40.9672329,-104.5777381,87,peak,1761
Round Butte,40.9152619,-105.0488624,9,peak,1844
East Pawnee Butte,40.8235845,-103.9690401,88,peak,1573
Wildhorse Tit,40.7949812,-104.5716271,87,peak,1663
Cedar Hill,40.6744148,-107.4261738,4,peak,2147
Little Buck Mountain,40.7308027,-107.4786754,4,peak,2467
Pinnacle Mountain,40.6991372,-107.3797838,4,peak,2517
McInturf Mesa,40.7194147,-107.3867285,4,peak,2502
Baldy Peak,40.7374712,-107.2464471,4,peak,2743
Quaker Mountain,40.6963607,-107.1606118,441,peak,2844
Bull Hill,40.6419168,-107.1786678,441,peak,2355
Slide Mountain,40.7199709,-107.3108932,4,peak,2729
Buck Mountain,40.6774713,-107.3175599,4,peak,2409
Round Mountain,40.6580282,-107.063943,214,peak,2641
Pilot Knob,40.6508059,-107.1019994,214,peak,3001
Buck Mountain,40.6871946,-107.0089417,214,peak,2697
Picket Mountain,40.7163608,-107.0167197,214,peak,2804
Saddle Mountain,40.7483048,-107.0267199,214,peak,2802
Sevenmile Hill,40.5213596,-107.6778472,301,peak,2046
Lay Peak,40.503303,-107.8906322,301,peak,2027
Sugarloaf Peak,40.5560802,-107.9275782,3,peak,2015
Slippery Sides Mountain,40.5613628,-107.0631097,214,peak,2541
Cedar Mountain,40.5766371,-107.6086787,301,peak,2287
Signal Butte,40.4413595,-107.8542415,211,peak,1985
Little Juniper Mountain,40.4755249,-107.9923023,3,peak,2027
Rattlesnake Butte,40.5735851,-107.0181087,214,peak,2241
Sand Mountain,40.5519183,-107.0878324,214,peak,2507
Wolf Mountain,40.5808067,-107.1203332,214,peak,2785
Hillberry Mountain,40.4091426,-107.2147787,13,peak,2334
Windy Point,40.4344263,-106.1514119,17,peak,2659
Buck Peak,40.4449729,-107.4625623,13,peak,2271
Breeze Mountain,40.4858054,-107.4736741,13,peak,2127
Gnat Hill,40.4544178,-107.3881163,13,peak,2174
Thompson Hill,40.4791384,-107.5575652,13,peak,1979
Saddle Mountain,40.4799757,-106.9861634,131,peak,2162
Monument Butte,40.2983073,-107.662567,12,peak,2201
Mount Streeter,40.265251,-107.799238,211,peak,2175
Maggies Nipple,40.3333041,-107.9714672,211,peak,2267
Daton Peak,40.3355313,-107.3956153,13,peak,2156
Round Mountain,40.2566435,-107.4300597,12,peak,2382
Harper Hill,40.351363,-107.5347857,12,peak,2308
