name,lat,lon,type,elevation,osm_id,osm_type,source,gmu
Flattop Mountain,40.308939,-105.690209,peak,3757,51327946,node,openstreetmap,20
Peak 8,39.4727092,-106.102479,peak,3955,324759328,node,openstreetmap,37
Island Mesa,38.1041584,-109.0001071,peak,2132,356671911,node,openstreetmap,70
Hardesty Mesa,37.0036329,-103.6643982,peak,1896,357569753,node,openstreetmap,143
Cobert Mesa,37.0089093,-103.5296691,peak,1837,357569756,node,openstreetmap,143
Jesus Mesa,37.0750197,-103.5032785,peak,1882,357569760,node,openstreetmap,143
Hardesty Mesa,36.9994662,-103.6616203,peak,1881,357584030,node,openstreetmap,143
Rock Creek Mesa,36.9966787,-106.7530917,peak,2475,357598381,node,openstreetmap,78
State Line Peak,36.9955791,-105.2963944,peak,3918,357599444,node,openstreetmap,Unknown
Barela Mesa,36.9997455,-104.3138714,peak,2611,357619247,node,openstreetmap,140
Wulsten Baldy,38.2513874,-105.7380624,peak,3870,358906402,node,openstreetmap,86
McKinley Mountain,38.2525006,-105.2891612,peak,2564,358906417,node,openstreetmap,69
Bull Mountain,40.9174782,-105.8347255,peak,3074,358906461,node,openstreetmap,8
Aigner Mountain,40.6749717,-107.2631142,peak,2225,358906552,node,openstreetmap,441
Hooker Mountain,40.5660844,-107.1872792,peak,2359,358906566,node,openstreetmap,441
Yahoo Mountain,40.9438556,-107.2683917,peak,2522,358906615,node,openstreetmap,5
Bible Back Mountain,40.9457998,-107.3550606,peak,2571,358906617,node,openstreetmap,5
Camel Back Mountain,40.9460776,-107.3408937,peak,2544,358906619,node,openstreetmap,5
Long Mountain,40.9244114,-107.3217265,peak,2828,358906622,node,openstreetmap,5
Buck Knoll,40.9746816,-109.0262314,peak,2745,358906627,node,openstreetmap,201
Kleins Hill,40.9869038,-109.0262314,peak,2755,358906629,node,openstreetmap,201
Middle Mountain,40.9605156,-108.9453953,peak,2494,358906631,node,openstreetmap,201
Diamond Peak,40.9502385,-108.8781712,peak,2946,358906634,node,openstreetmap,201
Bishop Peak,40.9630158,-108.9253948,peak,2691,358906638,node,openstreetmap,201
Cold Spring Mountain,40.895239,-108.8715043,peak,2624,358906643,node,openstreetmap,201
Sugarloaf Butte,40.90774,-108.742056,peak,2178,358906647,node,openstreetmap,2
Bighole Butte,40.8896883,-107.9556355,peak,2063,358906649,node,openstreetmap,3
Bakers Peak,40.9180223,-107.4564523,peak,2879,358906652,node,openstreetmap,4
Serviceberry Mountain,40.9449661,-107.4889531,peak,2428,358906654,node,openstreetmap,4
Smith Rim,40.9124668,-107.4353406,peak,2732,358906656,node,openstreetmap,4
Blue Hill,40.8482963,-108.717055,peak,2105,358906669,node,openstreetmap,2
Lookout Mountain,40.8641313,-108.4837139,peak,2466,358906671,node,openstreetmap,2
Twin Buttes,40.7557994,-108.3881536,peak,1909,358906673,node,openstreetmap,2
The Nipple,40.8549657,-108.2087021,peak,2223,358906676,node,openstreetmap,2
Brush Mountain,40.8769126,-107.2497803,peak,2969,358906678,node,openstreetmap,5
Middle Mountain,40.8819126,-107.2178349,peak,2752,358906681,node,openstreetmap,5
East Gibraltar Peak,40.9016345,-107.2089458,peak,2640,358906683,node,openstreetmap,5
Tumble Mountain,40.9105235,-107.1492219,peak,2655,358906685,node,openstreetmap,5
West Gibraltar Peak,40.9266339,-107.2481134,peak,2566,358906688,node,openstreetmap,5
Beaver Mountain,40.9588556,-107.178667,peak,2556,358906690,node,openstreetmap,5
Pine Scope Hill,40.9658001,-107.1278322,peak,2245,358906693,node,openstreetmap,5
Twin Buttes,40.970522,-107.20839,peak,2571,358906695,node,openstreetmap,5
Petite Tetons,40.9775552,-107.2300141,peak,2598,358906698,node,openstreetmap,5
Flattop Mountain,40.9877438,-107.2156124,peak,2345,358906700,node,openstreetmap,5
Buck Point,40.8241354,-107.367839,peak,3209,358906702,node,openstreetmap,4
Mount Oliphant,40.8138577,-107.3783949,peak,3248,358906705,node,openstreetmap,4
Mount Welba,40.8327462,-107.3875617,peak,3222,358906708,node,openstreetmap,4
Sand Point,40.8244128,-107.4139513,peak,3029,358906711,node,openstreetmap,4
Three Forks Mountain,40.9735779,-107.0894978,peak,2770,358906718,node,openstreetmap,5
Piney Mountain,40.9480228,-107.1147764,peak,2836,358906720,node,openstreetmap,5
Shield Mountain,40.9155236,-107.0725532,peak,3028,358906723,node,openstreetmap,5
Elkhorn Mountain,40.9874672,-106.9647716,peak,2909,358906726,node,openstreetmap,5
Butter Hill,40.9319124,-106.9950509,peak,2429,358906729,node,openstreetmap,5
Black Mountain,40.935363,-106.7696136,peak,3240,358906731,node,openstreetmap,161
Davis Peak,40.920348,-106.7007184,peak,3476,358906734,node,openstreetmap,161
Independence Mountain,40.918306,-106.4455863,peak,2987,358906736,node,openstreetmap,161
Sugar Loaf,40.9541388,-106.4408637,peak,2650,358906745,node,openstreetmap,161
Dead Horse Hill,40.8866396,-106.4741987,peak,2632,358906753,node,openstreetmap,161
Watson Mountain,40.9191406,-106.3341931,peak,2650,358906756,node,openstreetmap,161
Dean Peak,40.9191411,-106.2825244,peak,2606,358906758,node,openstreetmap,6
Sentinel Mountain,40.8974829,-106.2626794,peak,2770,358906761,node,openstreetmap,6
Crazy Mountain,40.9402548,-105.9533413,peak,2638,358906763,node,openstreetmap,8
Dempsey Dome,40.9271992,-105.9683423,peak,2416,358906767,node,openstreetmap,7
Chimney Rock,40.9958117,-105.7683314,peak,2386,358906772,node,openstreetmap,8
Bald Mountain,40.9955417,-105.5033252,peak,2442,358906777,node,openstreetmap,191
Diamond Peak,40.9791508,-105.5599932,peak,2621,358906779,node,openstreetmap,8
Iron Mountain,40.9438723,-105.5669382,peak,2649,358906782,node,openstreetmap,8
Deadhorse Mountain,40.9538718,-105.5927721,peak,2762,358906784,node,openstreetmap,8
Turkey Roost,40.902206,-105.4230445,peak,2357,358906786,node,openstreetmap,191
Mount Evelyn,40.894706,-105.4624905,peak,2295,358906789,node,openstreetmap,191
Goat Mountain,40.9005397,-105.4949918,peak,2370,358906792,node,openstreetmap,8
Red Mountain,40.9072055,-105.2777608,peak,2163,358906797,node,openstreetmap,9
Little Twins,40.9591507,-105.2755383,peak,2268,358906804,node,openstreetmap,9
Table Mountain,40.9887077,-105.3310776,peak,2409,358906807,node,openstreetmap,9
Little Bald Mountain,40.975262,-105.2683158,peak,2295,358906809,node,openstreetmap,9
Table Mountain,40.9408172,-105.1755342,peak,2150,358906812,node,openstreetmap,9
Sheep Mountain,40.9266502,-105.2394259,peak,2224,358906814,node,openstreetmap,9
Mount Kimball,40.8947061,-105.4877693,peak,2306,358906819,node,openstreetmap,8
Gage Hill,40.7885929,-105.1910914,peak,1839,358906821,node,openstreetmap,9
Bobcat Mountain,40.8680387,-105.1510893,peak,1913,358906826,node,openstreetmap,9
Deadman Butte,40.8144263,-105.2341484,peak,1852,358906828,node,openstreetmap,9
Table Rock,40.8413712,-105.2360928,peak,1943,358906831,node,openstreetmap,9
Eagles Nest,40.7714239,-105.2237465,peak,1916,358906833,node,openstreetmap,191
Campbell Mountain,40.8227601,-105.1883133,peak,1947,358906835,node,openstreetmap,9
Calloway Hill,40.8305378,-105.3094291,peak,1917,358906838,node,openstreetmap,191
Livermore Mountain,40.7569254,-105.2924842,peak,2281,358906840,node,openstreetmap,191
Haystack Butte,40.7577588,-105.4377677,peak,2371,358906845,node,openstreetmap,191
Sheep Mountain,40.8027597,-105.4397122,peak,2425,358906851,node,openstreetmap,191
Blacktail Point,40.8530384,-105.423878,peak,2266,358906853,node,openstreetmap,191
Many Thunders Mountain,40.837321,-105.5638909,peak,2473,358906856,node,openstreetmap,8
Mount Margaret,40.8177597,-105.5277712,peak,2422,358906858,node,openstreetmap,191
Black Mountain,40.8716478,-105.6391637,peak,3030,358906878,node,openstreetmap,8
South Bald Mountain,40.7524799,-105.6961132,peak,3347,358906880,node,openstreetmap,8
Middle Bald Mountain,40.7652577,-105.7072245,peak,3334,358906883,node,openstreetmap,8
North Bald Mountain,40.7758132,-105.6994461,peak,3342,358906885,node,openstreetmap,8
Little Bald Mountain,40.8585902,-105.7569461,peak,3175,358906887,node,openstreetmap,8
Deadman Hill,40.8110904,-105.7727815,peak,3196,358906890,node,openstreetmap,8
North Middle Mountain,40.8030341,-105.8888975,peak,2701,358906892,node,openstreetmap,7
Shipman Mountain,40.8283103,-106.0777938,peak,3294,358906895,node,openstreetmap,6
Eagle Hill,40.821643,-106.1827988,peak,2544,358906897,node,openstreetmap,6
Bear Mountain,40.7827515,-106.6117046,peak,3535,358906904,node,openstreetmap,161
Flattop Mountain,40.8071953,-106.6355943,peak,3581,358906907,node,openstreetmap,161
Mount Zirkel,40.8320564,-106.6611366,peak,3713,358906909,node,openstreetmap,161
Big Agnes Mountain,40.8319168,-106.6897629,peak,3506,358906912,node,openstreetmap,14
Little Agnes Mountain,40.8271945,-106.7178196,peak,3505,358906914,node,openstreetmap,14
Diamond Peak,40.8033036,-107.0753317,peak,3166,358906916,node,openstreetmap,5
Meaden Peak,40.7671932,-107.0769987,peak,3207,358906919,node,openstreetmap,441
Mansfield Hill,40.8930323,-106.0391797,peak,2952,358906921,node,openstreetmap,7
Pollock Knob,40.894421,-106.0575138,peak,2990,358906924,node,openstreetmap,7
