name,lat,lon,gmu_id
Flattop Mountain,40.308939,-105.690209,20
Peak 8,39.4727092,-106.102479,37
Island Mesa,38.1041584,-109.0001071,70
Hardesty Mesa,37.0036329,-103.6643982,143
Cobert Mesa,37.0089093,-103.5296691,143
Jesus Mesa,37.0750197,-103.5032785,143
Hardesty Mesa,36.9994662,-103.6616203,143
Rock Creek Mesa,36.9966787,-106.7530917,78
State Line Peak,36.9955791,-105.2963944,Unknown
Barela Mesa,36.9997455,-104.3138714,140
Wulsten Baldy,38.2513874,-105.7380624,86
McKinley Mountain,38.2525006,-105.2891612,69
Bull Mountain,40.9174782,-105.8347255,8
Aigner Mountain,40.6749717,-107.2631142,441
Hooker Mountain,40.5660844,-107.1872792,441
Yahoo Mountain,40.9438556,-107.2683917,5
Bible Back Mountain,40.9457998,-107.3550606,5
Camel Back Mountain,40.9460776,-107.3408937,5
Long Mountain,40.9244114,-107.3217265,5
Buck Knoll,40.9746816,-109.0262314,201
Kleins Hill,40.9869038,-109.0262314,201
Middle Mountain,40.9605156,-108.9453953,201
Diamond Peak,40.9502385,-108.8781712,201
Bishop Peak,40.9630158,-108.9253948,201
Cold Spring Mountain,40.895239,-108.8715043,201
Sugarloaf Butte,40.90774,-108.742056,2
Bighole Butte,40.8896883,-107.9556355,3
Bakers Peak,40.9180223,-107.4564523,4
Serviceberry Mountain,40.9449661,-107.4889531,4
Smith Rim,40.9124668,-107.4353406,4
Blue Hill,40.8482963,-108.717055,2
Lookout Mountain,40.8641313,-108.4837139,2
Twin Buttes,40.7557994,-108.3881536,2
The Nipple,40.8549657,-108.2087021,2
Brush Mountain,40.8769126,-107.2497803,5
Middle Mountain,40.8819126,-107.2178349,5
East Gibraltar Peak,40.9016345,-107.2089458,5
Tumble Mountain,40.9105235,-107.1492219,5
West Gibraltar Peak,40.9266339,-107.2481134,5
Beaver Mountain,40.9588556,-107.178667,5
Pine Scope Hill,40.9658001,-107.1278322,5
Twin Buttes,40.970522,-107.20839,5
Petite Tetons,40.9775552,-107.2300141,5
Flattop Mountain,40.9877438,-107.2156124,5
Buck Point,40.8241354,-107.367839,4
Mount Oliphant,40.8138577,-107.3783949,4
Mount Welba,40.8327462,-107.3875617,4
Sand Point,40.8244128,-107.4139513,4
Three Forks Mountain,40.9735779,-107.0894978,5
Piney Mountain,40.9480228,-107.1147764,5
Shield Mountain,40.9155236,-107.0725532,5
Elkhorn Mountain,40.9874672,-106.9647716,5
Butter Hill,40.9319124,-106.9950509,5
Black Mountain,40.935363,-106.7696136,161
Davis Peak,40.920348,-106.7007184,161
Independence Mountain,40.918306,-106.4455863,161
Sugar Loaf,40.9541388,-106.4408637,161
Dead Horse Hill,40.8866396,-106.4741987,161
Watson Mountain,40.9191406,-106.3341931,161
Dean Peak,40.9191411,-106.2825244,6
Sentinel Mountain,40.8974829,-106.2626794,6
Crazy Mountain,40.9402548,-105.9533413,8
Dempsey Dome,40.9271992,-105.9683423,7
Chimney Rock,40.9958117,-105.7683314,8
Bald Mountain,40.9955417,-105.5033252,191
Diamond Peak,40.9791508,-105.5599932,8
Iron Mountain,40.9438723,-105.5669382,8
Deadhorse Mountain,40.9538718,-105.5927721,8
Turkey Roost,40.902206,-105.4230445,191
Mount Evelyn,40.894706,-105.4624905,191
Goat Mountain,40.9005397,-105.4949918,8
Red Mountain,40.9072055,-105.2777608,9
Little Twins,40.9591507,-105.2755383,9
Table Mountain,40.9887077,-105.3310776,9
Little Bald Mountain,40.975262,-105.2683158,9
Table Mountain,40.9408172,-105.1755342,9
Sheep Mountain,40.9266502,-105.2394259,9
Mount Kimball,40.8947061,-105.4877693,8
Gage Hill,40.7885929,-105.1910914,9
Bobcat Mountain,40.8680387,-105.1510893,9
Deadman Butte,40.8144263,-105.2341484,9
Table Rock,40.8413712,-105.2360928,9
Eagles Nest,40.7714239,-105.2237465,191
Campbell Mountain,40.8227601,-105.1883133,9
Calloway Hill,40.8305378,-105.3094291,191
Livermore Mountain,40.7569254,-105.2924842,191
Haystack Butte,40.7577588,-105.4377677,191
Sheep Mountain,40.8027597,-105.4397122,191
Blacktail Point,40.8530384,-105.423878,191
Many Thunders Mountain,40.837321,-105.5638909,8
Mount Margaret,40.8177597,-105.5277712,191
Black Mountain,40.8716478,-105.6391637,8
South Bald Mountain,40.7524799,-105.6961132,8
Middle Bald Mountain,40.7652577,-105.7072245,8
North Bald Mountain,40.7758132,-105.6994461,8
Little Bald Mountain,40.8585902,-105.7569461,8
Deadman Hill,40.8110904,-105.7727815,8
North Middle Mountain,40.8030341,-105.8888975,7
Shipman Mountain,40.8283103,-106.0777938,6
Eagle Hill,40.821643,-106.1827988,6
Bear Mountain,40.7827515,-106.6117046,161
Flattop Mountain,40.8071953,-106.6355943,161
Mount Zirkel,40.8320564,-106.6611366,161
Big Agnes Mountain,40.8319168,-106.6897629,14
Little Agnes Mountain,40.8271945,-106.7178196,14
Diamond Peak,40.8033036,-107.0753317,5
Meaden Peak,40.7671932,-107.0769987,441
Mansfield Hill,40.8930323,-106.0391797,7
Pollock Knob,40.894421,-106.0575138,7
Iron Mountain,40.8577473,-106.9889402,5
Lester Mountain,40.7752496,-106.8981044,14
Grouse Mountain,40.8110822,-106.9056043,14
Twin Mountain,40.8410816,-106.9092153,14
Little Mountain,40.8283038,-106.9361609,14
Anderson Mountain,40.826915,-106.922827,14
Beryl Mountain,40.8316372,-106.9219936,14
Cap Smith Hill,40.8319145,-106.9767178,14
Nipple Peak,40.8727468,-107.0381082,5
Dome Peak,40.8741373,-106.8208785,5
Farwell Mountain,40.824138,-106.8489355,14
West Bears Ears Peak,40.7774546,-107.2492571,4
Saddle Mountain,40.7996924,-107.1528336,4
Sugar Loaf Mountain,40.7833037,-107.1839455,4
Diamond Mountain,40.732462,-108.9534515,1
Douglas Mountain,40.6330194,-108.8595589,2
Offield Mountain,40.6832957,-108.9562292,1
Dry Knob,40.6463539,-108.687053,2
Vermillion Mesa,40.7013536,-108.6826087,2
Dry Mountain,40.7138544,-108.55816,2
Allred Peak,40.5269108,-108.5559363,2
Chase Hill,40.5652439,-108.5734372,2
Bill Weller Mesa,40.5644105,-108.5842709,2
Limestone Hill,40.5713549,-108.5970492,2
Smelter Hill,40.5760768,-108.6437176,2
Reds Knob,40.5444095,-108.7812224,2
Zenobia Peak,40.6069083,-108.8701146,2
Jenny Lind Rock,40.5269083,-108.9792846,10
Monument Hill,40.6388556,-108.3881528,2
Lone Mountain,40.5760777,-108.4709334,2
Pigpen Hill,40.6624663,-108.4503777,2
Clay Buttes,40.7069106,-108.4414888,2
Yellow Cat Butte,40.7471886,-108.3381515,2
Peck Mesa,40.5435784,-108.3331498,11
Ninemile Hill,40.7110782,-108.1864782,3
Bald Mountain,40.6838564,-108.1195308,3
Lucas Hill,40.6474679,-108.0770289,3
Hat Hill,40.6141349,-108.035638,3
Schoonover Buttes,40.4799659,-108.7770551,10
Cleopatras Couch,40.4805209,-108.8573356,2
Marthas Peak,40.441077,-108.8703912,10
Tanks Peak,40.4258005,-108.765943,10
Hospital Hill,40.4735762,-108.9028927,2
Red Rock Bench,40.4619094,-108.9331714,10
Round Top Mountain,40.4416322,-108.9173374,10
Buena Vista Peak,40.4407987,-108.9251153,10
Plug Hat Rock,40.2895532,-108.9733437,10
Wapiti Peak,40.3738576,-108.2809241,11
Twelvemile Mesa,40.4005237,-108.3878729,10
Lone Mountain,40.3319136,-108.7045509,10
Moose Head Mountain,40.317468,-108.864001,10
Juniper Mountain,40.4494137,-108.0295258,211
M F Mountain,40.3716349,-108.5642683,10
Escarpment Peak,40.2980256,-108.1278619,11
Coal Mountain,40.3183036,-108.0445255,211
Kirchnary Butte,40.8949852,-103.287707,89
Molly and Mable,40.8866517,-103.3435421,89
Billy Goat Hill,40.9838731,-103.4988244,89
The Rocks,40.9355399,-103.4518787,89
Dipper Hill,40.9105398,-103.5482708,89
Earthlodge Rock,40.9672329,-104.5777381,87
Round Butte,40.9152619,-105.0488624,9
East Pawnee Butte,40.8235845,-103.9690401,88
Wildhorse Tit,40.7949812,-104.5716271,87
Cedar Hill,40.6744148,-107.4261738,4
Little Buck Mountain,40.7308027,-107.4786754,4
Pinnacle Mountain,40.6991372,-107.3797838,4
McInturf Mesa,40.7194147,-107.3867285,4
Baldy Peak,40.7374712,-107.2464471,4
Quaker Mountain,40.6963607,-107.1606118,441
Bull Hill,40.6419168,-107.1786678,441
Slide Mountain,40.7199709,-107.3108932,4
Buck Mountain,40.6774713,-107.3175599,4
Round Mountain,40.6580282,-107.063943,214
Pilot Knob,40.6508059,-107.1019994,214
Buck Mountain,40.6871946,-107.0089417,214
Picket Mountain,40.7163608,-107.0167197,214
Saddle Mountain,40.7483048,-107.0267199,214
Sevenmile Hill,40.5213596,-107.6778472,301
Lay Peak,40.503303,-107.8906322,301
Sugarloaf Peak,40.5560802,-107.9275782,3
Slippery Sides Mountain,40.5613628,-107.0631097,214
Cedar Mountain,40.5766371,-107.6086787,301
Signal Butte,40.4413595,-107.8542415,211
Little Juniper Mountain,40.4755249,-107.9923023,3
Rattlesnake Butte,40.5735851,-107.0181087,214
Sand Mountain,40.5519183,-107.0878324,214
Wolf Mountain,40.5808067,-107.1203332,214
Hillberry Mountain,40.4091426,-107.2147787,13
Windy Point,40.4344263,-106.1514119,17
Buck Peak,40.4449729,-107.4625623,13
Breeze Mountain,40.4858054,-107.4736741,13
Gnat Hill,40.4544178,-107.3881163,13
Thompson Hill,40.4791384,-107.5575652,13
Saddle Mountain,40.4799757,-106.9861634,131
Monument Butte,40.2983073,-107.662567,12
Mount Streeter,40.265251,-107.799238,211
Maggies Nipple,40.3333041,-107.9714672,211
Daton Peak,40.3355313,-107.3956153,13
Round Mountain,40.2566435,-107.4300597,12
Harper Hill,40.351363,-107.5347857,12
Rattlesnake Butte,40.3122014,-107.0333849,131
Pinnacle Peak,40.3380339,-107.0808862,131
Clinker Knob,40.3494145,-108.0345253,211
Citadel Plateau,40.2980253,-108.182864,11
Wolf Mountain,40.3710803,-108.1667529,11
Cedar Knob,40.4055835,-108.2204031,11
Mellen Hill,40.1580249,-108.9498346,10
Spooky Mountain,40.2094154,-108.8317763,10
Stadtman Mesa,40.1871922,-108.4734297,22
Blair Mountain,40.1463593,-108.3692587,22
Colorow Mountain,40.1821927,-108.1789741,11
Strawberry Peak,40.1802493,-108.0123012,11
Banty Point,40.0399696,-108.9898323,21
Red Hill,40.020808,-108.5800986,21
Buckskin Mesa,40.0699722,-108.0139672,11
The Monument,40.0855274,-108.0586912,11
Sagebrush Hill,39.9133074,-108.553708,22
Miller Hill,39.8849725,-108.2906427,22
Segar Mountain,39.9160846,-108.0103548,22
Joe Bush Mountain,39.8969182,-108.0070212,22
White Face Butte,39.7616387,-109.0317745,21
Texas Mountain,39.7758089,-108.8526038,21
Bald Knob,39.8485854,-108.0078541,22
Twin Buttes,39.6738648,-108.825936,21
Brushy Point,39.7310881,-108.7320451,21
Scare Mountain,39.6727546,-108.7331558,21
Lookout Mountain,39.5427536,-108.8403802,30
Mount Blaine,39.5116439,-108.3398093,31
McAlpin Mountain,40.7402495,-106.9936636,214
Round Mountain,40.6888619,-106.922828,14
Moon Hill,40.6452514,-106.9222727,14
Mount Pau,40.6655289,-106.9225503,14
Mount Candy,40.6677512,-106.9094944,14
Floyd Peak,40.7019181,-106.8047686,14
The Dome,40.6858081,-106.7058763,14
Lost Ranger Peak,40.6902528,-106.6722636,16
Mount Ethel,40.6477535,-106.68032,16
Pitchpine Mountain,40.6783096,-106.5508694,16
Delaney Butte,40.701643,-106.4869778,16
Elk Mountain,40.7160895,-106.0450164,6
Johnny Moore Mountain,40.6402571,-106.0925192,6
Deer Mountain,40.5333088,-106.8964393,214
Elk Mountain,40.5691411,-106.9675519,214
The Sleeping Giant,40.5610856,-106.9728298,214
Rocky Peak,40.579142,-106.8394932,14
Round Mountain,40.5794214,-106.6769873,16
Buffalo Mountain,40.5127551,-106.7364357,14
Horse Thief Peak,40.6146979,-106.7344897,14
Pole Mountain,40.5230362,-106.4819781,16
Custer Mountain,40.5824805,-106.0444625,6
Michigan Hill,40.6144241,-106.0869637,6
Emerald Mountain,40.4619217,-106.850049,131
Howelsen Hill,40.4805325,-106.8406049,131
Mount Werner,40.4560895,-106.7403244,14
Diamond Mountain,40.3847045,-106.5108693,181
White Slide,40.4491471,-106.6011509,16
Rabbit Ears Peak,40.4270683,-106.6110421,16
Harrison Hump,40.4652582,-106.5847612,16
Ironclad Mountain,40.4097042,-106.4433666,17
Little Haystack Mountain,40.3797045,-106.3808647,17
Spicer Peak,40.445537,-106.3961425,17
Red Hill,40.4035929,-106.3200291,17
Aspen Knoll,40.4455367,-106.2761385,17
Buffalo Peak,40.4708142,-106.3447517,17
Thorpe Mountain,40.2997027,-106.9144932,15
Woodchuck Hill,40.2572045,-106.8125457,15
Blacktail Mountain,40.2985922,-106.8411581,15
Walton Peak,40.3544255,-106.6992103,15
Grannys Nipple,40.275817,-106.4583684,181
Middle Carter Mountain,40.2705394,-106.4211449,181
Carter Mountain,40.2994278,-106.4264225,181
Whiteley Peak,40.3180388,-106.4933692,181
Grannys Nightcap,40.3316497,-106.4497565,181
White Slide Mountain,40.327483,-106.398088,181
Red Slide Mountain,40.3352607,-106.3964212,181
Chimney Rock,40.344705,-106.4194775,181
South Ryder Peak,40.3594271,-106.4605899,181
North Ryder Peak,40.3677604,-106.4633677,181
Sheep Mountain,40.3610935,-106.2658609,17
Coal Mountain,40.2591507,-106.3503091,181
Hyannis Peak,40.3585936,-106.312807,17
Parkview Mountain,40.330197,-106.1362778,18
Haystack Mountain,40.3272055,-106.1891917,18
Sheep Mountain,40.3091501,-106.2408604,18
Little Gravel Mountain,40.2569296,-106.0077967,18
Radial Mountain,40.3597059,-106.0519644,171
Devils Grave Mesa,40.1835938,-106.9489373,231
Eagle Rock,40.141373,-106.8736571,15
Simpson Mountain,40.2285942,-106.7933782,15
King Mountain,40.0019314,-106.8583771,26
Tyler Mountain,40.1960955,-106.5186478,27
Gore Mountain,40.2235948,-106.6575409,15
Little Wolford Mountain,40.1327628,-106.3666976,181
Wolford Mountain,40.1180407,-106.3914205,181
Junction Butte,40.0283189,-106.3525296,37
Red Mountain,40.0560965,-106.3441962,181
Searight Mountain,40.2197071,-106.1441904,18
Black Mountain,40.1402628,-106.2064144,18
Slide Mountain,40.1422071,-106.2250262,18
Elk Mountain,40.1619295,-106.1283562,18
Grouse Mountain,40.143874,-106.1636352,18
Pagoda Peak,40.1397017,-107.3333902,12
Old Baldy,40.1877497,-107.9700773,211
Devils Hole Mountain,40.1827504,-107.9003524,211
Coal Butte,40.2016393,-107.8953524,211
Uranium Peak,40.1285861,-107.7031227,23
Sleepy Cat Peak,40.127477,-107.5336727,12
Baldy Mountain,40.1694707,-107.537775,12
Wilson Mesa,40.2058097,-107.5206172,12
Iles Mountain,40.2002535,-107.5928417,12
Scott Hill,40.2169214,-107.4564489,12
Big Sugarloaf Mountain,40.1935882,-107.4708936,12
Upper Sugarloaf Mountain,40.1869215,-107.4753381,12
Horse Mountain,40.1974778,-107.4120034,12
Burro Mountain,40.1838674,-107.3708913,12
Baldy Mountain,40.1235924,-107.2067207,12
Dunckley Flat Tops,40.2269242,-107.2006098,231
Heart Mountain,40.1730381,-107.0069944,231
Bellyache Mountain,40.1449827,-107.0417172,231
Pinnacle Peak,40.2330363,-107.0675515,131
Meeker Dome,40.0416405,-107.8545166,23
Rattlesnake Mesa,40.0738631,-107.7984035,23
Sawmill Mountain,40.0852536,-107.6628432,23
Old Baldy,40.0205337,-107.5303383,24
Ellison Mountain,40.0635879,-107.5970076,23
Sand Peak,40.1155348,-107.3792244,12
Snell Mountain,40.1008129,-107.3586684,24
Himes Peak,40.0008155,-107.2636663,24
Pyramid Peak,40.1220781,-107.1685881,12
Lost Lakes Peaks,40.0574821,-107.2183876,12
Maggies Nipple,40.0822063,-107.0397724,231
Orno Peak,40.0822055,-107.0969959,231
Flat Top Mountain,40.0151423,-107.0835364,26
LO 7 Hill,39.9513633,-107.8925729,23
Burro Mountain,39.8938677,-107.5883946,24
Buford Peak,39.9760893,-107.5542276,24
Camel Peak,39.986646,-107.4692254,24
Timber Mountain,39.8947035,-107.3586673,24
Big Marvine Peak,39.9499813,-107.3408896,24
Shingle Peak,39.901372,-107.2067202,24
